ID,Name,Type,Address,NormalizedName,Note
"1624393192","여수 경산장례식장","funeral","전남 여수시 시청로 145","여수경산","No exact match in 2023 data"
"1578101566","쉴낙원 부산세웅장례식장","funeral","부산 동래구 충렬대로 455","쉴낙원부산세웅","No exact match in 2023 data"
"716415280","동화경모공원 추모관","charnel","경기 파주시 탄현면 헤이리로 98","동화경모공원추모관","No exact match in 2023 data"
"26983814","현대예담문화원 장례식장","funeral","충남 태안군 태안읍 환동로 31","현대예담문화원","No exact match in 2023 data"
"26950689","메디팜요양병원 장례식장","funeral","전남 순천시 양율길 306","메디팜요양병원","No exact match in 2023 data"
"18260492","영광농협장례식장","funeral","전남 영광군 영광읍 영대로 213","영광농협","No exact match in 2023 data"
"11132000","송현효병원 장례식장","funeral","대구 달서구 월배로 384","송현효병원","No exact match in 2023 data"
"796889538","세종장례식장","funeral","충북 제천시 송학주천로 46","세종","No exact match in 2023 data"
"759278611","대구시립공원묘지 추모의집","park","경북 칠곡군 지천면 낙산로 87","대구시립공원묘지추모의집","No exact match in 2023 data"
"11883430","천국의계단추모관","charnel","전남 무안군 일로읍 죽사동길 179-126","천국의계단추모관","No exact match in 2023 data"
"1824278255","아미타불교요양병원 장례식장","funeral","경기 안성시 죽산면 녹배길 139","아미타불교요양병원","No exact match in 2023 data"
"538699392","삼척시추모공원2단지 묘지및자연장","park","강원특별자치도 삼척시 강원남부로 4540","삼척시추모공원2단지묘지및자연장","No exact match in 2023 data"
"8180553","옥산전문장례식장","funeral","경북 경산시 서상길 84","옥산전문","No exact match in 2023 data"
"1225280704","중앙요양병원 장례식장","funeral","대구 달서구 월배로83길 14","중앙요양병원","No exact match in 2023 data"
"1319006740","공주나래원 수목장","natural","충남 공주시 이인면 운암리 225","공주나래원수목장","No exact match in 2023 data"
"11057552","좌천봉생병원 장례식장","funeral","부산 동구 중앙대로 401","좌천봉생병원","No exact match in 2023 data"
"14650898","해성병원 장례식장","funeral","경북 봉화군 봉화읍 보밑길 3","해성병원","No exact match in 2023 data"
"27356689","여여정사 수목장","natural","경상남도 밀양시 삼랑진읍 행곡1길 180-158 (행곡리)","여여정사수목장","No exact match in 2023 data"
"14831229","양주예쓰병원 장례식장","funeral","경기 양주시 회정로109번길 7-20","양주예쓰병원","No exact match in 2023 data"
"19469580","효성요양병원 장례식장","funeral","전남 목포시 양을로 456","효성요양병원","No exact match in 2023 data"
"868214786","단원병원 장례문화원","funeral","경기 안산시 단원구 원포공원로 10","단원병원장례문화원","No exact match in 2023 data"
"130291220","진주제일교회 수목장","natural","경상남도 진주시 일반성면 운천리 산96","진주제일교회수목장","No exact match in 2023 data"
"1126865226","휴안추모관","charnel","경남 김해시 상동면 상동로 178-54","휴안추모관","No exact match in 2023 data"
"1578129924","목포추모공원 추모의집","park","전라남도 목포시 고하대로 1140-41 (대양동)","목포추모공원추모의집","No exact match in 2023 data"
